T1,P1,T2,P2,T3,P3,T4,P4,Wc,Wt,W_net,power_net,Qin,thermal_efficiency,exergy_destruction_compressor,exergy_destruction_turbine,exergy_destruction_compressor_specific,exergy_destruction_turbine_specific,exergy_rate_destruction_total,exergy_specific_destruction_total,second_law_efficiency,entropy_generation_compressor,entropy_generation_turbine,pressure_ratio
298.15,100000.0,787.8970200042468,3000000.0,1400.0,2850000.0,537.5985339062548,100000.0,492195.755104268,866713.4734242139,374517.7183199459,3745177.183199459,615163.494895732,0.6088100503808752,1457.6560207117382,0.0,145.76560207117382,0.0,1457.6560207117382,145.76560207117382,0.7748491550302048,0.48588534023724606,0.0,30.0
298.15,100000.0,795.3131343984813,3100000.0,1400.0,2945000.0,532.5855496448582,100000.0,499648.9500704738,871751.5226069174,372102.57253644365,3721025.7253644364,607710.2999295263,0.612302560248847,1471.7088019214088,0.0,147.17088019214088,0.0,1471.7088019214088,147.17088019214088,0.7792941675894416,0.4905696006404696,0.0,31.0
298.15,100000.0,802.5602848666737,3200000.0,1400.0,3040000.0,527.7762814961079,100000.0,506932.33629100706,876584.8370964115,369652.50080540444,3696525.0080540446,600426.913708993,0.6156494526901949,1485.3153869132711,0.0,148.5315386913271,0.0,1485.3153869132711,148.5315386913271,0.7835538488784299,0.4951051289710904,0.0,32.0
298.15,100000.0,809.6474256965181,3300000.0,1400.0,3135000.0,523.1564621588245,100000.0,514054.9128250007,881227.7555303813,367172.84270538064,3671728.4270538064,593304.3371749993,0.6188608774607364,1498.5032406281107,0.0,149.85032406281107,0.0,1498.5032406281107,149.85032406281107,0.7876411167682099,0.49950108020937023,0.0,33.0
298.15,100000.0,816.5827822892504,3400000.0,1400.0,3230000.0,518.7132180719335,100000.0,521024.9462006967,885693.2158377068,364668.2696370101,3646682.696370101,586334.3037993034,0.6219459910055554,1511.2973676920092,0.0,151.12973676920092,0.0,1511.2973676920092,151.12973676920092,0.7915676249161614,0.5037657892306697,0.0,34.0
298.15,100000.0,823.3739299939039,3500000.0,1400.0,3325000.0,514.4348969447287,100000.0,527850.0496438734,889992.9285705476,362142.87892667425,3621428.7892667428,579509.2003561266,0.6249130793853248,1523.7205977803114,0.0,152.37205977803114,0.0,1523.7205977803114,152.37205977803114,0.7953439192176861,0.5079068659267705,0.0,35.0
298.15,100000.0,830.0278624248002,3600000.0,1400.0,3420000.0,510.310920871967,100000.0,534537.2517369243,894137.5245236731,359600.2727867488,3596002.7278674883,572821.9982630758,0.6277696629618574,1535.7938307661243,0.0,153.57938307661243,0.0,1535.7938307661243,153.57938307661243,0.7989795710423642,0.5119312769220414,0.0,36.0
298.15,100000.0,836.5510509161846,3700000.0,1400.0,3515000.0,506.33166064342026,100000.0,541093.0561707655,898136.6810533627,357043.6248825971,3570436.248825971,566266.1938292345,0.6305225859735301,1547.5362482757191,0.0,154.7536248275719,0.0,1547.5362482757191,154.7536248275719,0.8024832912390383,0.5158454160919064,0.0,37.0
298.15,100000.0,842.9494964704589,3800000.0,1400.0,3610000.0,502.4883277075832,100000.0,547523.4939528112,901999.2306538788,354475.73670106754,3544757.3670106754,559835.7560471888,0.633178093524967,1558.9654970249285,0.0,155.89654970249285,0.0,1558.9654970249285,155.89654970249285,0.8058630281226854,0.5196551656749762,0.0,38.0
298.15,100000.0,849.228775318879,3900000.0,1400.0,3705000.0,498.7728809169732,100000.0,553834.1691954734,905733.2546784419,351899.0854829685,3518990.854829685,553525.0808045266,0.635741898039195,1570.0978483409926,0.0,157.00978483409926,0.0,1570.0978483409926,157.00978483409926,0.8091260520498845,0.5233659494469975,0.0,39.0
298.15,100000.0,855.3940790225906,4000000.0,1400.0,3800000.0,495.1779457105685,100000.0,560030.2994177036,909346.1645608786,349315.865143175,3493158.65143175,547328.9505822965,0.6382192368438435,1580.9483374769115,0.0,158.09483374769115,0.0,1580.9483374769115,158.09483374769115,0.8122790287103463,0.5269827791589705,0.0,40.0
298.15,100000.0,861.450249887423,4100000.0,1400.0,3895000.0,491.69674380934237,100000.0,566116.7511368601,912844.7724716109,346728.0213347508,3467280.213347508,541242.4988631399,0.6406149222632006,1591.5308857288437,0.0,159.15308857288437,0.0,1591.5308857288437,159.15308857288437,0.8153280828804371,0.5305102952429479,0.0,41.0
298.15,100000.0,867.4018123402263,4200000.0,1400.0,3990000.0,488.32303183757915,100000.0,572098.0714019275,916235.353003233,344137.28160130547,3441372.816013055,535261.1785980725,0.6429333853477875,1601.8584078353797,0.0,160.18584078353797,0.0,1601.8584078353797,160.18584078353797,0.8182788540790024,0.5339528026117932,0.0,42.0
298.15,100000.0,873.2530008118075,4300000.0,1400.0,4085000.0,485.05104755394154,100000.0,577978.5158158665,919523.6972082887,341545.1813924222,3415451.813924222,529380.7341841335,0.6451787141796951,1611.9429067248348,0.0,161.19429067248348,0.0,1611.9429067248348,161.19429067248348,0.8211365453196119,0.5373143022416116,0.0,43.0
298.15,100000.0,879.0077845870665,4400000.0,1400.0,4180000.0,481.8754625960141,100000.0,583762.0735100018,922715.1600910058,338953.0865810041,3389530.865810041,523597.17648999824,0.6473546875352159,1621.795557392261,0.0,162.1795557392261,0.0,1621.795557392261,162.1795557392261,0.8239059659539112,0.5405985191307536,0.0,44.0
298.15,100000.0,884.6698900131862,4500000.0,1400.0,4275000.0,478.79134082101143,100000.0,589452.4894632521,925814.7024748835,336362.2130116314,3363622.1301163137,517906.76053674787,0.6494648045587058,1631.4267813297647,0.0,163.14267813297647,0.0,1631.4267813297647,163.14267813297647,0.8265915694383529,0.5438089271099216,0.0,45.0
298.15,100000.0,890.2428203988438,4600000.0,1400.0,4370000.0,475.79410147180147,100000.0,595053.284500838,928826.9280208396,333773.64352000155,3337736.4352000155,512305.965499162,0.6515123109971819,1640.8463127795585,0.0,164.08463127795585,0.0,1640.8463127795585,164.08463127795585,0.8291974867236861,0.5469487709265195,0.0,46.0
298.15,100000.0,895.7298738891643,4700000.0,1400.0,4465000.0,472.8794865178317,100000.0,600567.7732586102,931756.1160495791,331188.34279096895,3311883.4279096895,506791.4767413899,0.6535002224592872,1650.0632578752175,0.0,165.00632578752175,0.0,1650.0632578752175,165.00632578752175,0.8317275558572745,0.5500210859584058,0.0,47.0
298.15,100000.0,901.1341595607568,4800000.0,1400.0,4560000.0,470.0435316200349,100000.0,605999.0803585605,934606.250721865,328607.17036330444,3286071.7036330444,501360.16964143945,0.6554313450913268,1659.0861475312977,0.0,165.90861475312977,0.0,1659.0861475312977,165.90861475312977,0.8341853482980522,0.5530287158437659,0.0,48.0
298.15,100000.0,906.4586119472282,4900000.0,1400.0,4655000.0,467.2825402513243,100000.0,611350.1550069643,937381.0470474191,326030.8920404548,3260308.920404548,496009.09499303566,0.657308294004231,1667.922984903953,0.0,166.7922984903953,0.0,1667.922984903953,166.7922984903953,0.8365741923690212,0.5559743283013177,0.0,49.0
298.15,100000.0,911.7060041769454,5000000.0,1400.0,4750000.0,464.59306057304696,100000.0,616623.7841978301,940083.9741240878,323460.1899262577,3234601.8992625773,490735.46580216987,0.6591335097362907,1676.5812880391877,0.0,167.65812880391877,0.0,1676.5812880391877,167.65812880391877,0.8388971942098247,0.5588604293463959,0.0,50.0
